"Tract","Walker","Pass","Distance","Sherds","Other","Bags"
2008,11,1,100,45,0,1
2008,12,1,100,47,0,3
2008,13,1,65,4,0,1
2009,2,1,100,69,0,4
2009,8,1,100,58,0,3
2009,11,1,25,4,0,0
2009,12,1,48,7,0,0
2009,13,1,100,80,0,2
2010,2,1,100,74,0,3
2010,9,1,100,86,0,1
2010,11,1,100,48,0,0
2010,12,1,100,9,0,0
2010,13,1,100,86,0,4
2011,2,1,20,0,0,0
2011,9,1,100,22,0,1
2011,11,1,100,6,0,0
2011,12,1,101,7,0,0
2011,13,1,100,76,0,0
2012,9,1,60,4,0,0
2012,11,1,65,0,0,0
2012,12,1,65,5,0,0
2012,13,1,75,0,0,0
2013,2,1,35,0,0,0
2014,2,1,100,0,0,0
2014,8,1,100,3,0,0
2014,9,1,100,0,0,0
2014,12,1,100,0,0,0
2014,13,1,100,0,0,0
2015,2,1,100,0,0,0
2015,8,1,100,3,0,0
2015,9,1,100,0,0,0
2015,12,1,100,6,0,0
2015,13,1,100,5,0,0
2016,2,1,35,1,0,0
2016,8,1,45,0,0,0
2016,9,1,50,8,0,1
2016,12,1,48,9,0,1
2016,13,1,50,23,0,0
2017,2,1,100,7,0,0
2017,8,1,85,0,0,0
2017,11,1,100,22,0,0
2017,12,1,100,3,0,0
2017,13,1,100,0,0,0
2018,2,1,98,0,0,0
2018,8,1,45,0,0,0
2018,11,1,100,2,0,0
2018,12,1,100,9,0,0
2018,13,1,85,0,0,0
2019,2,1,100,0,0,0
2019,2,2,23,0,0,0
2019,8,1,100,0,0,0
2019,12,1,100,0,0,0
2019,13,1,100,6,0,0
2020,2,1,100,0,0,0
2020,8,1,100,0,0,0
2020,11,1,100,0,0,0
2020,12,1,100,3,0,0
2020,13,1,100,0,0,0
2021,2,1,100,0,0,0
2021,8,1,100,1,0,1
2021,11,1,100,0,0,0
2021,12,1,90,1,0,0
2021,13,1,100,0,0,0
2022,2,1,100,1,0,0
2022,6,1,100,0,0,0
2022,8,1,100,0,0,0
2022,11,1,100,0,0,0
2022,13,1,100,3,0,1
2023,2,1,100,0,0,0
2023,6,1,88,0,0,0
2023,8,1,90,0,0,0
2023,11,1,100,0,0,0
2023,13,1,100,0,0,0
2024,11,1,35,0,0,0
2024,13,1,35,0,0,0
2025,2,1,75,0,0,0
2025,6,1,100,0,0,0
2025,8,1,100,0,0,0
2025,11,1,25,0,0,0
2025,13,1,8,0,0,0
2026,6,1,33,0,0,0
2027,8,1,30,0,0,0
2027,11,1,95,4,0,0
2027,11,2,30,0,0,0
2027,13,1,100,3,0,0
2027,13,2,19,0,0,0
2028,6,1,48,0,0,0
2028,8,1,25,1,0,0
2029,6,1,34,0,0,0
2029,8,1,30,0,0,0
2029,11,1,10,0,0,0
2030,2,1,83,0,0,0
2030,2,2,35,1,0,0
2031,2,1,29,0,0,0
2031,6,1,63,0,0,0
2031,8,1,80,3,0,0
2031,11,1,80,11,0,0
2031,13,1,20,0,0,0
2032,2,1,100,1,0,0
2032,6,1,120,5,0,1
2032,8,1,100,0,0,0
2032,11,1,80,0,0,0
2032,13,1,65,0,0,0
2033,2,1,87,0,0,0
2033,6,1,100,0,0,0
2033,8,1,100,0,0,0
2033,11,1,95,0,0,0
2033,13,1,77,0,0,0
2034,6,1,46,1,0,1
2034,8,1,36,0,0,0
2035,2,1,55,0,0,0
2035,6,1,47,0,0,0
2035,8,1,50,0,0,0
2035,11,1,90,0,0,0
2035,13,1,100,0,0,0
2036,2,1,100,0,0,0
2036,6,1,100,0,0,0
2036,8,1,100,0,0,0
2036,11,1,100,0,0,0
2036,13,1,100,0,0,0
2037,2,1,100,0,0,0
